seq_index,seq_start_row,seq_start_time,recon_error,anomaly_flag
417,6672,2025-07-21 02:24:54.017,0.008681474,0
418,6688,2025-07-21 02:25:03.658,0.008685747,0
419,6704,2025-07-21 02:25:06.328,0.008683005,0
420,6720,2025-07-21 02:25:11.579,0.008690359,0
421,6736,2025-07-21 02:25:17.419,0.008693821,0
422,6752,2025-07-21 02:25:25.136,0.008692301,0
423,6768,2025-07-21 02:25:30.779,0.00868311,0
424,6784,2025-07-21 02:25:33.212,0.008686684,0
425,6800,2025-07-21 02:25:40.898,0.008693424,0
426,6816,2025-07-21 02:25:48.210,0.008685072,0
427,6832,2025-07-21 02:25:56.027,0.008681492,0
428,6848,2025-07-21 02:25:58.067,0.008690736,0
429,6864,2025-07-21 02:26:03.445,0.008682559,0
430,6880,2025-07-21 02:26:12.028,0.008681601,0
431,6896,2025-07-21 02:26:20.496,0.008685866,0
432,6912,2025-07-21 02:26:23.247,0.008692829,0
433,6928,2025-07-21 02:26:28.371,0.008757969,0
434,6944,2025-07-21 02:26:34.131,0.008799905,0
435,6960,2025-07-21 02:26:41.910,0.00879005,0
436,6976,2025-07-21 02:26:47.632,0.008767115,0
437,6992,2025-07-21 02:27:16.275,0.008743205,0
438,7008,2025-07-21 02:27:23.065,0.008779233,0
439,7024,2025-07-21 02:27:31.385,0.008780154,0
440,7040,2025-07-21 02:27:40.207,0.008797558,0
441,7056,2025-07-21 02:27:51.165,0.008764713,0
442,7072,2025-07-21 02:27:55.119,0.0087000225,0
443,7088,2025-07-21 02:28:02.494,0.008708062,0
444,7104,2025-07-21 02:28:27.725,0.008685073,0
445,7120,2025-07-21 02:28:35.669,0.008681492,0
446,7136,2025-07-21 02:28:37.812,0.0087084,0
447,7152,2025-07-21 02:28:43.715,0.008776532,0
448,7168,2025-07-21 02:28:52.280,0.008785007,0
449,7184,2025-07-21 02:29:01.019,0.008788304,0
450,7200,2025-07-21 02:29:34.836,0.0087640695,0
451,7216,2025-07-21 02:29:38.989,0.008694525,0
452,7232,2025-07-21 02:29:46.384,0.008698164,0
453,7248,2025-07-21 02:29:53.501,0.008689197,0
454,7264,2025-07-21 02:30:01.220,0.008679873,0
455,7280,2025-07-21 02:30:03.453,0.0086944485,0
456,7296,2025-07-21 02:30:08.719,0.00868238,0
457,7312,2025-07-21 02:30:17.013,0.008681788,0
458,7328,2025-07-21 02:30:25.826,0.008685898,0
459,7344,2025-07-21 02:30:28.384,0.008679063,0
460,7360,2025-07-21 02:30:33.483,0.008715073,0
461,7376,2025-07-21 02:30:39.617,0.008723778,0
462,7392,2025-07-21 02:30:48.158,0.008722843,0
463,7408,2025-07-21 02:30:53.395,0.00872259,0
464,7424,2025-07-21 02:33:38.150,0.008694037,0
465,7440,2025-07-21 02:34:16.484,0.008698164,0
466,7456,2025-07-21 02:34:23.846,0.008689198,0
467,7472,2025-07-21 02:34:31.530,0.008679873,0
468,7488,2025-07-21 02:34:33.778,0.00871517,0
469,7504,2025-07-21 02:34:39.047,0.008780064,0
470,7520,2025-07-21 02:34:47.352,0.008781064,0
471,7536,2025-07-21 02:34:56.196,0.008788611,0
472,7552,2025-07-21 02:35:16.682,0.008759757,0
473,7568,2025-07-21 02:35:20.792,0.008690518,0
474,7584,2025-07-21 02:35:28.346,0.008701274,0
475,7600,2025-07-21 02:35:35.597,0.008688012,0
476,7616,2025-07-21 02:35:43.387,0.008679837,0
477,7632,2025-07-21 02:35:45.469,0.008694489,0
478,7648,2025-07-21 02:35:52.238,0.008688027,0
479,7664,2025-07-21 02:35:59.340,0.0086866515,0
480,7680,2025-07-21 02:36:08.097,0.008694586,0
481,7696,2025-07-21 02:36:10.499,0.0086864615,0
482,7712,2025-07-21 02:39:19.672,0.008689609,0
483,7728,2025-07-21 02:39:25.916,0.008697812,0
484,7744,2025-07-21 02:39:33.415,0.00869165,0
485,7760,2025-07-21 02:39:40.244,0.008683168,0
486,7776,2025-07-21 02:39:42.671,0.008686823,0
487,7792,2025-07-21 02:39:49.392,0.008689512,0
488,7808,2025-07-21 02:39:57.299,0.00868187,0
489,7824,2025-07-21 02:40:05.045,0.008681655,0
490,7840,2025-07-21 02:40:07.043,0.008690741,0
491,7856,2025-07-21 02:40:12.564,0.008682664,0
492,7872,2025-07-21 02:40:20.060,0.008681473,0
493,7888,2025-07-21 02:40:29.822,0.008685746,0
494,7904,2025-07-21 02:40:32.520,0.008683005,0
495,7920,2025-07-21 02:40:37.641,0.008690358,0
496,7936,2025-07-21 02:40:43.379,0.008693822,0
